PHRASE, TOTAL_GUESSES, WRONG_GUESSES, MIN_LEN, LIE?
the usual suspects, 10, 1, 9, 
stars and stripes, 11, 2, 9, 
jobs not finished, 16, 4, 12, i
we talking about practice, 18, 3, 15, 
just do it, 20, 12, 8, s
handcrafted wooden hippopotamus and star, 17, 0, 17, a
a bird in hand, 14, 7, 7, 
zoom learning, 17, 7, 10, 
information theory is awesome, 14, 0, 14, m
uptown girl and downtown boy, 17, 3, 14, 
the wizard whizzed down the walkway, 17, 2, 15, w
the yachtsman yodels awkwardly, 16, 1, 15, 
the unanimous declaration of thirteen, 15, 0, 15, 
we the people, 15, 8, 7, 
in order to form a more perfect union, 17, 3, 14, o
life liberty pursuit of happiness, 15, 0, 15, 
night at the museum, 18, 7, 11, m
fast and furious, 15, 4, 11, f
national treasure, 10, 0, 10, 
algorithmic thinking, 15, 2, 13, i
prison redemption, 10, 0, 10, 
three championships in a row, 16, 2, 14, e
greatest of all time, 13, 2, 11, 
defense wins championships, 21, 7, 14, s
catches win matches, 19, 9, 10, 
half the team is injured, 16, 1, 15, t
construction hard hat, 18, 7, 11, 
yellow school bus, 16, 6, 10, 
the wheels on the bus go, 15, 4, 11, 
surround sound system, 13, 2, 11, s
why can i not sleep right now, 25, 9, 16, n
sleeping at nine did not work out, 17, 2, 15, 
a significant trade occurred yesterday, 14, 0, 14, 
twelve person jury, 15, 2, 13, 
partridge in a pear tree, 12, 2, 10, p
merry christmas, 10, 0, 10, 
happy new year, 13, 5, 8, 
festival of lights, 14, 2, 12, l
chemistry issues, 13, 2, 11, s
birthday card, 14, 5, 9, 
congress shall make no law, 18, 5, 13, 
respecting an establishment of, 18, 1, 17, r
religion or prohibiting, 12, 0, 12, r
the free exercise thereof, 13, 2, 11, r
or abridging the freedom of, 15, 1, 14, r
speech or of the press, 11, 2, 9, 
or the right of the people, 14, 4, 10, 
peaceably to assemble and to, 16, 3, 13, 
petition the government, 13, 2, 11, 
for a redress of grievances, 12, 0, 12, 
